animal_id,created,note,session_id,is_deleted,is_alert
1881,635605561621880000,"New EID: 964001009986744",10,0,0
1881,635605561958360000,"Previous Tag: 011021",10,0,0
1881,635605561961010000,"New Tag: 11021",10,0,0
1881,635605563418730000,"Previous EID: 964001009986744",10,0,0
2498,635605563420340000,"New EID: 964001009986744",10,0,0
1881,635605565610910000,"New EID: 964001009986622",10,0,0
2498,635605565985570000,"Previous Tag: 012058",10,0,0
2498,635605565987080000,"New Tag: 12058",10,0,0
2498,635605566637610000,"Tag i right ear",10,0,0
2501,635605566838300000,"New EID: 964001009986738",10,0,0
2501,635605566930730000,"Previous Tag: 012062",10,0,0
2501,635605566932490000,"New Tag: 12062",10,0,0
1944,635605567109210000,"New EID: 964001009986739",10,0,0
1944,635605567196730000,"Previous Tag: 012033",10,0,0
1944,635605567199430000,"New Tag: 12033",10,0,0
2495,635605567657190000,"New EID: 964001009986736",10,0,0
2495,635605567727250000,"Previous Tag: 012055",10,0,0
2495,635605567728970000,"New Tag: 12055",10,0,0
2717,635605568350300000,"New EID: 964001009986741",10,0,0
2496,635605568732910000,"New EID: 964001009986740",10,0,0
2496,635605568801380000,"Previous Tag: 012056",10,0,0
2496,635605568802880000,"New Tag: 12056",10,0,0
1995,635605569114550000,"New EID: 964001009986737",10,0,0
1995,635605569211270000,"Previous Tag: 010008",10,0,0
1995,635605569212830000,"New Tag: 10008",10,0,0
1999,635605569475440000,"New EID: 964001009986684",10,0,0
1999,635605569633070000,"Previous Tag: 012021",10,0,0
1999,635605569634630000,"New Tag: 12021",10,0,0
1999,635605570397440000,"Previous EID: 964001009986684",10,0,0
1999,635605570398880000,"New EID: 964001009986626",10,0,0
2533,635605570808210000,"New EID: 964001009986684",10,0,0
2533,635605570921080000,"Previous Tag: 012109",10,0,0
2533,635605570922630000,"New Tag: 12109",10,0,0
1877,635605571751060000,"New EID: 964001009986685",10,0,0
1877,635605573457380000,"Previous Tag: 010007",10,0,0
1877,635605573458870000,"New Tag: 10007",10,0,0
1877,635605573968860000,"Crooked star",10,0,0
2201,635605581973600000,"New EID: 964001009986683",10,0,0
2201,635605582128040000,"Pocket baby",10,0,0
2201,635605583022760000,"Previous Tag: 213080",10,0,0
2201,635605583024420000,"New Tag: 13080",10,0,0
2718,635605583267960000,"New EID: 964001009986682",10,0,0
1958,635605583674670000,"New EID: 964001009986681",10,0,0
1958,635605583821340000,"Previous Tag: 011023",10,0,0
1958,635605583824040000,"New Tag: 11023",10,0,0
2513,635605583972420000,"New EID: 964001009986680",10,0,0
2513,635605584045570000,"Previous Tag: 012076",10,0,0
2513,635605584047070000,"New Tag: 12076",10,0,0
2719,635605584524810000,"New EID: 964001009986679",10,0,0
2719,635605584740120000,"Previous Tag: 011026",10,0,0
2719,635605584741720000,"New Tag: 11026",10,0,0
2053,635605585354650000,"New EID: 964001009986678",10,0,0
2053,635605585487510000,"Previous Tag: 213047",10,0,0
2053,635605585489050000,"New Tag: 13047",10,0,0
2720,635605586401040000,"New EID: 964001009986677",10,0,0
1894,635605586964850000,"New EID: 964001009986676",10,0,0
1894,635605587053170000,"Previous Tag: 010011",10,0,0
1894,635605587054720000,"New Tag: 10011",10,0,0
1894,635605587160970000,Bugsy,10,0,0
2009,635605587767950000,"New EID: 964001009986686",10,0,0
2491,635605588180490000,"New EID: 964001009986687",10,0,0
2491,635605588264210000,"Previous Tag: 012050",10,0,0
2491,635605588265830000,"New Tag: 12050",10,0,0
2544,635605588611620000,"New EID: 964001009986688",10,0,0
2067,635605589109530000,"New EID: 964001009986689",10,0,0
2721,635605591119230000,"New EID: 964001009986690",10,0,0
2092,635605591891590000,"New EID: 964001009986691",10,0,0
2092,635605591968220000,"Previous Tag: 213046",10,0,0
2092,635605591969820000,"New Tag: 13046",10,0,0
2214,635605592156090000,"New EID: 964001009986692",10,0,0
2722,635605594563090000,"New EID: 964001009986693",10,0,0
1963,635605594876550000,"New EID: 964001009986695",10,0,0
1963,635605594995240000,"Previous Tag: 012006",10,0,0
1963,635605594997880000,"New Tag: 12006",10,0,0
1980,635605595460420000,"New EID: 964001009986694",10,0,0
1980,635605595546030000,"Previous Tag: 010015",10,0,0
1980,635605595547590000,"New Tag: 10015",10,0,0
1919,635605595914950000,"New EID: 964001009986696",10,0,0
1919,635605596008750000,"Previous Tag: 009006",10,0,0
1919,635605596010370000,"New Tag: 9006",10,0,0
2723,635605596701070000,"New EID: 964001009986697",10,0,0
2521,635605597100970000,"New EID: 964001009986698",10,0,0
2521,635605597178820000,"Previous Tag: 012088",10,0,0
2521,635605597180390000,"New Tag: 12088",10,0,0
2521,635605597277180000,Salsa,10,0,0
1886,635605597454040000,"New EID: 964001009986699",10,0,0
1886,635605597530280000,"Previous Tag: 012014",10,0,0
1886,635605597531990000,"New Tag: 12014",10,0,0
1956,635605597731390000,"New EID: 964001009986700",10,0,0
1956,635605597803850000,"Previous Tag: 012039",10,0,0
1956,635605597805410000,"New Tag: 12039",10,0,0
2529,635605598383460000,"New EID: 964001009986701",10,0,0
2529,635605599040710000,"Right ear tagged wild child",10,0,0
2529,635605599175450000,"Previous Tag: 012104",10,0,0
2529,635605599177750000,"New Tag: 12104",10,0,0
1930,635605599396130000,"New EID: 964001009986702",10,0,0
1930,635605599488810000,"Previous Tag: 012080",10,0,0
1930,635605599491690000,"New Tag: 12080",10,0,0
2105,635605599680120000,"New EID: 964001009986703",10,0,0
2516,635605599978370000,"New EID: 964001009986705",10,0,0
2516,635605600108320000,"Previous Tag: 012081",10,0,0
2516,635605600109820000,"New Tag: 12081",10,0,0
2724,635605601142390000,"New EID: 964001009986704",10,0,0
2005,635605601905720000,"New EID: 964001009986706",10,0,0
2005,635605602046630000,"Previous Tag: 012031",10,0,0
2005,635605602048190000,"New Tag: 12031",10,0,0
2005,635605602252100000,"Tagged in right ear",10,0,0
2527,635605602584250000,"New EID: 964001009986715",10,0,0
2527,635605602658380000,"Previous Tag: 012100",10,0,0
2527,635605602660200000,"New Tag: 12100",10,0,0
2075,635605603198540000,"New EID: 964001009986714",10,0,0
2075,635605603289140000,"Previous Tag: 213069",10,0,0
2075,635605603290750000,"New Tag: 13069",10,0,0
2128,635605603613070000,"New EID: 964001009986713",10,0,0
2096,635605604572720000,"New EID: 964001009986708",10,0,0
2096,635605604640530000,"Previous Tag: 213084",10,0,0
2096,635605604642070000,"New Tag: 13084",10,0,0
1923,635605605122860000,"New EID: 964001009986709",10,0,0
1923,635605605200280000,"Previous Tag: 009013",10,0,0
1923,635605605201790000,"New Tag: 9013",10,0,0
1923,635605605373720000,"Premedona momma",10,0,0
2101,635605605772060000,"New EID: 964001009986707",10,0,0
2101,635605605849180000,"Previous Tag: 213088",10,0,0
2101,635605605851850000,"New Tag: 13088",10,0,0
1925,635605606550650000,"New EID: 964001009986710",10,0,0
1925,635605606651200000,"Previous Tag: 011035",10,0,0
1925,635605606652830000,"New Tag: 11035",10,0,0
1948,635605606803310000,"New EID: 964001009986711",10,0,0
1948,635605606869720000,"Previous Tag: 012002",10,0,0
1948,635605606871220000,"New Tag: 12002",10,0,0
1909,635605607253720000,"New EID: 964001009986712",10,0,0
1909,635605607499910000,"Previous Tag: 009021",10,0,0
1909,635605607501430000,"New Tag: 9021",10,0,0
2725,635605608795530000,"New EID: 964001009986756",10,0,0
2725,635605609143520000,"Tag in right ear",10,0,0
1994,635605609294030000,"New EID: 964001009986757",10,0,0
1994,635605609498870000,"Previous Tag: 012009",10,0,0
1994,635605609500380000,"New Tag: 12009",10,0,0
1994,635605609624720000,"Crincly horns",10,0,0
